state,city_council,meter_id,zone_id,longitude,latitude,rate_per_hour,hours_of_operation,payment_types,notes,state_full,city,suburb,rate_category,zone_type,curbside_type,street_type,max_stay_minutes,operating_days,enforcement_hours,tap_to_pay,coin_acceptor,solar_powered,free_after_hours,distance_to_cbd_km,bay_capacity_index,occupancy_pct,night_rate,daily_cap,revenue_score,installed_year,last_maintained,maintenance_status
VIC,Victorian Government,871A,Z-VIC-0001,144.9765624,-37.8090933,4.25,Mon–Sun 08:00–18:00,Yes,"Morrison Place between Victoria Parade and Albert Street, approximately 19m West of St Vincent's Health Australia Ltd, 14-18 Morrison Place, EAST MELBOURNE VIC 3002",Victoria,Hobsons Bay,Williamstown,$4–8/hr,Ticketed,Parallel,Local,180,Mon–Fri,07:00–19:00,TRUE,TRUE,TRUE,FALSE,1.822881251,0.72,65.8,2.97,12.75,2.01,2010,2/18/2024,Overdue
VIC,Victorian Government,800A,Z-VIC-0002,144.9800677,-37.8484494,4.25,Mon–Sun 08:00–18:00,Yes,"St Kilda Road between Moubray Street and High Street, approximately 39m NW of Wesley College Melbourne, Wesley College, 567-581 St Kilda Road, MELBOURNE VIC 3004",Victoria,Hobsons Bay,CBD,$4–8/hr,Pay-and-Display,Angle,Local,180,Mon–Sat,08:00–18:00,TRUE,FALSE,TRUE,FALSE,3.247527827,0.86,61.5,3.09,12.75,2.25,2010,6/1/2025,OK
VIC,Victorian Government,879B,Z-VIC-0003,144.9880932,-37.81104,4.25,Mon–Sun 08:00–18:00,Yes,"Albert Street between Simpson Street and Powlett Street, approximately 30m South of 82 Albert Street, EAST MELBOURNE VIC 3002",Victoria,Yarra,St Kilda,$4–8/hr,Pay-and-Display,Parallel,Collector,60,Mon–Fri,08:00–18:00,TRUE,TRUE,TRUE,FALSE,0.636999586,1.1,69,2.31,4.25,3.23,2010,5/8/2025,OK
VIC,Victorian Government,811D,Z-VIC-0004,144.9814119,-37.8480156,4.25,Mon–Sun 08:00–18:00,Yes,"Moubray Street between St Kilda Road and Punt Road, approximately 24m SE of Ormond Collective, 17 Moubray Street, MELBOURNE VIC 3004",Victoria,Hobsons Bay,St Kilda,$4–8/hr,Smart Meter,Parallel,Local,60,Mon–Fri,09:00–17:00,TRUE,TRUE,TRUE,TRUE,4.701967903,0.88,48.7,2.35,4.25,1.82,2020,3/26/2024,Overdue
VIC,Victorian Government,884B,Z-VIC-0005,144.9885252,-37.8116099,4.25,Mon–Sun 08:00–18:00,Yes,"Simpson Street between Grey Street and Albert Street, approximately 8m South of East Melbourne Tennis Academy, 155 Simpson Street, EAST MELBOURNE VIC 3002",Victoria,Maribyrnong,Docklands,$4–8/hr,App-Only,Parallel,Arterial,120,Mon–Sat,09:00–17:00,TRUE,FALSE,TRUE,FALSE,8.874113504,1.2,77.2,2.59,8.5,3.94,2017,9/3/2024,OK
VIC,Victorian Government,802E,Z-VIC-0006,144.9777211,-37.8418909,4.25,Mon–Sun 08:00–18:00,Yes,"St Kilda Road between Armadale Street and Commercial Road, approximately 27m SW of Mariner Travel Pty Ltd, Ground 473 St Kilda Road, MELBOURNE VIC 3004",Victoria,Hobsons Bay,Docklands,$4–8/hr,Pay-and-Display,Parallel,Local,120,Mon–Fri,09:00–17:00,FALSE,FALSE,FALSE,FALSE,3.305517835,0.8,27.3,3.78,8.5,0.93,2020,5/20/2024,OK
VIC,Victorian Government,365E,Z-VIC-0007,144.961933,-37.8027478,4.25,Mon–Sun 08:00–18:00,Yes,"Bouverie Street between Lincoln Square South and Pelham Street, approximately 3m SE of Carpark Ground 165 Bouverie Street, CARLTON VIC 3053",Victoria,Melbourne,Docklands,$4–8/hr,Ticketed,Perpendicular,Arterial,180,Mon–Sat,08:00–18:00,TRUE,TRUE,TRUE,FALSE,2.689523148,1.51,37,2.61,12.75,2.37,2025,1/26/2024,Overdue
VIC,Victorian Government,801F,Z-VIC-0008,144.9794151,-37.8466506,4.25,Mon–Sun 08:00–18:00,Yes,"St Kilda Road between Commercial Road and Moubray Street, approximately 26m West of Spotless, Part Ground, Levels 1-2, 549 St Kilda Road, MELBOURNE VIC 3004",Victoria,Hobsons Bay,St Kilda,$4–8/hr,Smart Meter,Angle,Collector,60,Mon–Sat,08:00–18:00,TRUE,TRUE,TRUE,TRUE,4.99942406,1.32,77.1,2.77,4.25,4.33,2012,5/23/2024,OK
VIC,Victorian Government,823D,Z-VIC-0009,144.9782961,-37.8325244,4.25,Mon–Sun 08:00–18:00,Yes,"Kings Domain South, approximately 72m West of The Nursery and Works Yard, Royal Botanic Gardens Victoria, 48 Birdwood Avenue, MELBOURNE VIC 3004",Victoria,Stonnington,South Yarra,$4–8/hr,Pay-and-Display,Parallel,Local,30,Mon–Fri,09:00–17:00,TRUE,TRUE,TRUE,FALSE,2.615042997,0.92,79.1,3.41,4.25,3.09,2018,12/10/2024,OK
VIC,Victorian Government,859B,Z-VIC-0010,144.9785245,-37.8094152,4.25,Mon–Sun 08:00–18:00,Yes,"Lansdowne Street between Albert Street and Victoria Parade, approximately 4m NW of 12 Lansdowne Street,",Victoria,Yarra,Footscray,$4–8/hr,Ticketed,Angle,Local,60,Mon–Fri,09:00–17:00,TRUE,TRUE,TRUE,TRUE,7.594112771,1.06,35.2,2.46,4.25,1.59,2010,7/25/2024,Overdue
